name,customer_id,customer_tenure,number_of_services_or_products,average_monthly_usage,last_interaction_date,days_since_last_interaction,number_of_complaints,complaints_resolved_ratio,total_spent,average_transaction_value,outstanding_balance,payment_frequency,discount_or_offer_received,customer_support_calls,account_status,churn_flag
Noah Davis,cd0391eb-14f9-422e-8f6c-bad43a7bc658,46,1,156.21,2024-12-29,192,2,0.84,8691.93,869.19,2381.48,Bi-Monthly,1,12,Closed,0
James Williams,5e6dd69a-2fd8-4993-ab6a-0f18adf45b4d,83,4,106.12,2025-01-24,166,4,0.21,3451.07,383.45,862.79,Bi-Monthly,1,13,Closed,0
Liam Brown,80743f5d-7217-425c-a216-9b27982a91cf,43,1,431.65,2025-04-01,99,3,0.64,3894.73,649.12,2416.15,Quarterly,1,15,Closed,0
Sophia Miller,c89947de-a25c-4509-97d4-2c7bc1681c0a,109,5,123.77,2025-06-03,36,7,0.54,5157.9,396.76,3764.7,Quarterly,0,14,Closed,0
Liam Miller,2a803b51-412d-4b76-8ac2-423febc005c1,3,3,144.3,2024-11-30,221,2,0.38,2300.77,230.08,3578.18,Bi-Monthly,0,3,Suspended,1
William Jones,ff31133f-3ad4-400c-8de6-9ea96d1d7965,115,1,374.56,2024-09-30,282,5,0.44,4972.76,355.2,16.85,Monthly,0,2,Closed,1
James Miller,f62d38ff-3964-414e-8d26-fdd53ec820ee,72,6,412.28,2025-03-28,103,3,0.94,7610.73,691.88,3021.9,Monthly,1,11,Closed,1
Olivia Smith,57f74799-a3bd-455a-b8a0-7e66349e23d9,19,8,166.41,2024-10-01,281,6,0.09,2375.55,237.56,1630.28,Bi-Monthly,0,0,Active,0
Noah Smith,3c68a1a0-6b53-40ba-a3d0-73087c514802,98,2,110.3,2024-08-29,314,8,0.85,6004.97,1200.99,4885.72,Quarterly,0,2,Closed,0
Sophia Brown,5fe31bf1-1d27-440b-ae21-8e986f7796bd,105,5,215.49,2024-12-17,204,0,0.0,4869.82,405.82,268.8,Monthly,0,15,Active,0
Liam Davis,2c4af0cf-0d7a-441c-8fda-57e65c18c26c,48,5,113.24,2024-09-03,309,7,0.29,1100.28,137.53,1447.23,Monthly,0,2,Active,0
Liam Smith,d8a7c172-7b43-44c1-8a0d-210c2e299e31,44,1,428.2,2024-08-05,338,5,0.94,5946.34,396.42,114.72,Quarterly,0,7,Suspended,0
Noah Moore,95e99133-74f6-47f9-9b9e-59e80040a0cf,53,2,454.6,2024-10-19,263,3,0.03,5321.16,1064.23,1696.54,Monthly,0,12,Suspended,0
Ava Williams,d175fad2-6dd5-4472-90d3-9aaa5fc5637f,99,7,364.33,2025-04-07,93,4,0.45,2410.49,267.83,4049.28,Bi-Monthly,0,14,Closed,1
Sophia Brown,6d2a6e9c-f72e-4af4-9eb6-447842df03bc,73,4,131.51,2025-03-03,128,5,0.61,2915.32,291.53,4156.75,Quarterly,0,11,Closed,0
